Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),13 weeks
Paid Parental Leave at full salary for secondary carer,2 weeks
Minimum tenure required to be eligible for Paid Parental Leave,6 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,Yes
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,25% by 2020
Domestic and Family Violence policy,Yes
Internal Women's networking groups,Yes
Employee engagement scores year on year,Not Available
Employee turnover rate,Not Available
Paid volunteer days,1 day / year
