Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),26 weeks
Paid Parental Leave at full salary for secondary carer,0 weeks **
Minimum tenure required to be eligible for Paid Parental Leave,12 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,No **
Employee Assistance Program (EAP),No
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,No
Domestic and Family Violence policy,No
Internal Women's networking groups,Yes
Employee engagement scores year on year,2018 : 83%2017 : 79%
Employee turnover rate,4.5% for 2016
Paid volunteer days,No **
