Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),12 weeks
Paid Parental Leave at full salary for secondary carer,3 weeks
Minimum tenure required to be eligible for Paid Parental Leave,12 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,In development
Programs for parents returning to work after Parental Leave,No
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,No
Coaching programs,No
Targets to raise the number of women in leadership,Yes
Domestic and Family Violence policy,No
Internal Women's networking groups,No
Employee engagement scores year on year,Not Available
Employee turnover rate,Not Available
Paid volunteer days,1 day per annum
