Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),12 weeks
Paid Parental Leave at full salary for secondary carer,2 weeks
Minimum tenure required to be eligible for Paid Parental Leave,12 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,No
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,"No, we have 50:50"
Domestic and Family Violence policy,No
Internal Women's networking groups,Yes
Employee engagement scores year on year,2017: 67%​2016: 33%
Employee turnover rate,35%
Paid volunteer days,No
