Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),Minimum 18 weeks
Paid Parental Leave at full salary for secondary carer,Up to 2 weeks
Minimum tenure required to be eligible for Paid Parental Leave,3 months for permanent full-time or part-time employees
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,Yes
Programs for parents returning to work after Parental Leave,No
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes (in selected locations)
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,In Development
Targets to raise the number of women in leadership,Yes
Domestic and Family Violence policy,Yes
Internal Women's networking groups,Yes
Employee engagement scores year on year,Not Available
Employee turnover rate,8%
Paid volunteer days,No
