Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,In Development
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),4 Weeks
Paid Parental Leave at full salary for secondary carer,4 Weeks
Minimum tenure required to be eligible for Paid Parental Leave,12 Months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,No
Employee Assistance Program (EAP),In Development
Breastfeeding rooms,In Development
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,No
Domestic and Family Violence policy,In Development
Internal Women's networking groups,No
Employee engagement scores year on year,Not Available
Employee turnover rate,Not Available
Paid volunteer days,Not Available
