Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,Began Application 2018
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),26 weeks
Paid Parental Leave at full salary for secondary carer,13 weeks
Minimum tenure required to be eligible for Paid Parental Leave,no minimum requirement
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,Yes
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),No
Breastfeeding rooms,No
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,No
Domestic and Family Violence policy,No
Internal Women's networking groups,No
Employee engagement scores year on year,Not Available
Employee turnover rate,0%
Paid volunteer days,10 days
