Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,In Development
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),16 Weeks. Females also receive 24 hours pre-natal leave and males receive 2 weeks paternity leave to be taken associated with the birth of child
Paid Parental Leave at full salary for secondary carer,2 weeks at time of birth (or in association with birth)10 days further carers leave if required (plus can access accrued person leave for caring if required
Minimum tenure required to be eligible for Paid Parental Leave,12 Months
Continuation of superannuation payments whilst on paid Parental Leave,Up to 16.5% paid on the 16 weeks paid leave
Continuation of superannuation payments whilst on unpaid Parental Leave,9.5 SGC paid on up to 18 weeks unpaid leave (‘the gap’)
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes (Melb & Syd office)
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,Yes
Domestic and Family Violence policy,Yes
Internal Women's networking groups,In Development
Employee engagement scores year on year,CultureAmp methodology utilised: 76%Great Places To Work methodology utilised: 81%
Employee turnover rate,Overall 1%
Paid volunteer days,2 Days per year
