Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,Yes
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),6 weeks
Paid Parental Leave at full salary for secondary carer,2 weeks
Minimum tenure required to be eligible for Paid Parental Leave,no minimum tenure
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No **
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,No
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,50:50 by 2020
Domestic and Family Violence policy,Yes
Internal Women's networking groups,No
Employee engagement scores year on year,Not Available
Employee turnover rate,3 %
Paid volunteer days,No
