Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,Yes
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),13 weeks + 5 week return to work bonus
Paid Parental Leave at full salary for secondary carer,1 Week
Minimum tenure required to be eligible for Paid Parental Leave,12 Months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,In Development
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,"Yes, in head office locations"
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,In Development
Targets to raise the number of women in leadership,Yes
Domestic and Family Violence policy,No
Internal Women's networking groups,Yes
Employee engagement scores year on year,Not Available
Employee turnover rate,12%
Paid volunteer days,No
