Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),16 weeks
Paid Parental Leave at full salary for secondary carer,2 weeks
Minimum tenure required to be eligible for Paid Parental Leave,12 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,"Yes, up to 12 months"
Programs for parents returning to work after Parental Leave,No
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,No
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,50:50 by 2020
Domestic and Family Violence policy,No
Internal Women's networking groups,Yes
Employee engagement scores year on year,Apr 15 - 65% Feb 16 - 61%Sep 16 - 67% Mar 17 - 70%Sep 17 - 72% Apr 18 - 76%​
Employee turnover rate,2018: 15.38%
Paid volunteer days,No
