Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),14 weeks
Paid Parental Leave at full salary for secondary carer,1 week
Minimum tenure required to be eligible for Paid Parental Leave,12 months
Continuation of superannuation payments whilst on paid Parental Leave,No
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,No
Opportunities to purchase leave,No
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,No
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,50:50 by 2025
Domestic and Family Violence policy,Yes
Internal Women's networking groups,No
Employee engagement scores year on year,2018 : 69% ; 2017 : 60%
Employee turnover rate,5.80%
Paid volunteer days,No
