Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),6 weeks
Paid Parental Leave at full salary for secondary carer,6 weeks
Minimum tenure required to be eligible for Paid Parental Leave,0 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),No
Breastfeeding rooms,No
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,40:60 by 2020
Domestic and Family Violence policy,Yes
Internal Women's networking groups,Yes
Employee engagement scores year on year,Not Available
Employee turnover rate,15-20 % 2018
Paid volunteer days,No
