Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No **
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),6 weeks
Paid Parental Leave at full salary for secondary carer,2 weeks
Minimum tenure required to be eligible for Paid Parental Leave,0 weeks
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,Yes
Programs for parents returning to work after Parental Leave,No
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),No
Breastfeeding rooms,No
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,50:50 by 2019
Domestic and Family Violence policy,In development 2018
Internal Women's networking groups,Yes
Employee engagement scores year on year,NPS 50
Employee turnover rate,6.6 %
Paid volunteer days,unlimited***
