Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),12 Weeks
Paid Parental Leave at full salary for secondary carer,1 Week**
Minimum tenure required to be eligible for Paid Parental Leave,12 Months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes ( in some locations )
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,Yes
Domestic and Family Violence policy,Yes
Internal Women's networking groups,No
Employee engagement scores year on year,70% (2017)
Employee turnover rate,Not Available
Paid volunteer days,No
