Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,Yes
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),Yes**
Paid Parental Leave at full salary for secondary carer,Yes***
Minimum tenure required to be eligible for Paid Parental Leave,0 Months ****
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Available on request
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,Yes
Domestic and Family Violence policy,Yes
Internal Women's networking groups,No
Employee engagement scores year on year,Not Available
Employee turnover rate,Not Available
Paid volunteer days,1 day per annum
