Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),6-12 Weeks
Paid Parental Leave at full salary for secondary carer,3 days - 2 Weeks
Minimum tenure required to be eligible for Paid Parental Leave,12 Months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,In Development
Mentoring opportunities,Yes
Coaching programs,In Development
Targets to raise the number of women in leadership,No
Domestic and Family Violence policy,Yes
Internal Women's networking groups,No
Employee engagement scores year on year,77%
Employee turnover rate,17%
Paid volunteer days,2 days per annum
