Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,No
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),12 Weeks
Paid Parental Leave at full salary for secondary carer,2 Weeks
Minimum tenure required to be eligible for Paid Parental Leave,12 Months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,Yes
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,In Development
Domestic and Family Violence policy,No
Internal Women's networking groups,"Yes, informal"
Employee engagement scores year on year,83% (2017)  79%(2016)
Employee turnover rate,8.1%
Paid volunteer days,No**
