Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,In progress 2019
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),10 weeks**
Paid Parental Leave at full salary for secondary carer,1 week
Minimum tenure required to be eligible for Paid Parental Leave,12 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,No
Opportunities to purchase leave,No
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,No
Targets to raise the number of women in leadership,No
Domestic and Family Violence policy,to be introduced March 2019
Internal Women's networking groups,Yes
Employee engagement scores year on year,coming 2019
Employee turnover rate,15.5%
Paid volunteer days,No
